loan_id,customer_id,loan_amount,interest_rate,repayment_term
132,78014,95308.4,0.0752,5
133,52704,1786.1,0.0765,1
134,7985,78737.47,0.0666,2
135,79714,87856.03,0.0646,4
136,68703,11826.1,0.0881,1
137,92552,45011.99,0.0626,2
138,11570,5696.24,0.0512,1
139,47108,85145.52,0.0634,3
140,74307,62655.53,0.0884,1
141,42623,27767.9,0.0931,3
142,41035,86290.61,0.0624,4
143,46503,53834.46,0.0723,2
144,3846,3867.96,0.0676,2
145,62606,46203.36,0.0598,5
146,41018,89632.44,0.0736,4
147,88119,1211.75,0.0999,4
148,56042,22707.11,0.0713,2
149,1337,97133.87,0.0751,1
150,15058,83435.07,0.0679,1
151,2833,30966.77,0.0733,3
152,14976,39642.78,0.0505,5
153,61039,31704.3,0.0883,2
154,64518,92684.7,0.0926,3
155,35056,70586.43,0.0712,4
156,9282,35930.59,0.0764,5
157,34322,99410.27,0.0914,2
158,29674,52113.05,0.0794,1
159,53337,62925.68,0.0956,1
160,62520,1674.28,0.0917,5
161,26043,26423.13,0.0842,5
162,77360,96072.41,0.0667,1
163,89422,44753.4,0.0597,5
164,26320,69493.06,0.0665,3
165,93344,21419.9,0.0913,3
166,59652,81557.61,0.0699,1
167,19717,34772.05,0.0631,4
168,48523,83808.63,0.0654,1
169,33660,3133.37,0.0554,2
170,52683,78759.92,0.0792,4
171,94322,18429.6,0.084,1
172,51484,54871.92,0.0997,1
173,63677,69781.28,0.0723,5
174,29372,39737.86,0.0808,3
175,65010,4605.12,0.0885,3
176,21559,89072.06,0.0898,2
177,58989,75639.0,0.0525,4
178,23929,55631.0,0.067,2
179,45236,86297.64,0.0791,2
180,26264,63186.37,0.0635,2
181,96375,30490.02,0.0768,4
182,81577,15755.83,0.0736,2
183,43328,46706.7,0.0862,1
184,88248,25289.41,0.0597,1
185,78144,50310.14,0.0696,3
186,79010,14054.08,0.0983,4
187,35935,9440.9,0.0837,2
188,53989,75407.61,0.0879,1
189,68085,88201.58,0.0831,2
190,45233,83205.66,0.0807,4
191,55872,21638.52,0.0918,3
192,84297,29023.69,0.0991,2
193,86832,94406.6,0.0961,5
194,47646,47151.09,0.0921,2
195,64914,12271.99,0.0783,4
196,65483,82323.86,0.0994,1
197,59537,21027.63,0.0535,5
198,72753,29446.78,0.0968,4
199,94189,23340.7,0.0729,5
200,71858,31142.73,0.0747,5
201,77611,88896.91,0.083,2
202,88943,67370.84,0.0716,2
203,4858,93932.78,0.0626,4
204,74911,76741.49,0.0642,5
205,22040,52842.33,0.0536,2
206,46829,87746.17,0.0607,5
207,32979,41817.83,0.0954,5
208,84076,62521.5,0.0894,3
209,20326,69090.19,0.0634,5
210,58508,97002.89,0.0953,1
211,32895,57507.18,0.0576,1
212,74360,5918.16,0.0631,5
213,43846,19864.53,0.0901,5
214,27933,79737.42,0.0716,4
215,62084,8736.39,0.0534,1
216,84326,21958.91,0.094,1
217,96485,67086.68,0.0961,4
218,97499,10704.58,0.0662,4
219,36470,38632.33,0.0668,2
220,55437,2662.83,0.0658,3
221,11901,35253.32,0.0583,2
222,80286,19036.11,0.0907,1
223,6512,5402.44,0.0957,2
224,83656,5586.42,0.0642,4
225,2776,32391.06,0.0706,5
226,63995,87886.16,0.0818,1
227,8475,76177.36,0.0899,2
228,82432,30156.22,0.0715,3
229,30532,82512.81,0.0972,4
230,43815,91845.45,0.0655,1
231,82708,21521.64,0.0977,3
232,67915,64171.43,0.0638,3
233,77179,69814.0,0.0946,2
234,56524,8868.13,0.0855,3
235,62253,28083.59,0.0719,4
236,95945,96764.53,0.0911,3
237,93306,39280.31,0.0739,1
238,64117,89328.01,0.0702,5
239,42814,73198.82,0.0855,2
240,10794,32275.22,0.0798,2
241,88959,43889.06,0.0988,2
242,34737,52516.12,0.0823,3
243,85432,43207.61,0.0546,3
244,48568,29421.49,0.0646,5
245,13121,63353.94,0.0862,5
246,49831,19584.22,0.0738,2
247,93647,11932.98,0.0541,3
248,56723,71773.41,0.0573,5
249,44418,88770.23,0.0687,1
250,45844,22916.71,0.0544,2
251,779,91383.14,0.0919,2
252,80132,54573.63,0.0819,1
253,35158,45277.18,0.0563,1
254,11135,50836.87,0.0882,3
255,43723,41402.61,0.0679,1
256,94403,65128.17,0.0898,1
257,93840,91991.4,0.0886,4
258,30575,60514.15,0.0645,3
259,95849,35319.3,0.0845,2
260,40696,33869.21,0.0648,2
261,57039,82838.52,0.0628,1
262,84594,3084.05,0.0853,3
263,52803,66630.01,0.0779,2
264,80608,26407.73,0.0548,1
265,71408,33528.38,0.0798,4
266,82513,12476.33,0.0985,5
267,94347,89199.3,0.097,4
268,33693,18095.34,0.0707,4
269,94301,68346.43,0.0736,4
270,27113,12521.81,0.0554,1
271,27903,62412.06,0.0593,5
272,40549,76118.89,0.0899,4
273,42412,52992.19,0.0938,2
274,30462,14675.95,0.0646,3
275,26879,18042.72,0.0755,2
276,85742,6482.97,0.0515,3
277,53118,34794.43,0.0792,1
278,31618,1753.57,0.0698,3
279,8383,79687.04,0.0993,4
280,84031,96771.62,0.0753,1
281,31243,8313.1,0.0896,1
282,40950,63052.55,0.0545,2
283,73834,99851.76,0.0738,4
284,36249,28464.37,0.0607,5
285,62740,23372.57,0.0594,5
286,39687,16955.65,0.0883,2
287,23245,13562.17,0.0909,1
288,92593,88907.34,0.0963,1
289,8334,95646.79,0.0915,4
290,51807,31368.73,0.068,5
291,27753,44074.51,0.068,4
292,71957,47979.49,0.0897,2
293,28425,56464.44,0.097,4
294,80605,66431.53,0.0966,1
295,96204,98031.32,0.0546,4
296,51445,91731.62,0.0693,1
297,4537,55560.66,0.0589,3
298,61102,39669.84,0.0651,5
299,58144,43032.16,0.0707,1
300,53040,15136.56,0.0826,1
301,28271,11865.72,0.0509,2
302,28490,56215.24,0.0805,3
303,86830,59884.54,0.0723,4
304,69880,72713.03,0.0569,5
305,50306,96061.59,0.0552,4
306,78878,27724.43,0.0699,5
307,47096,5658.3,0.0737,5
308,26024,19185.24,0.0773,3
309,22811,17861.08,0.0837,4
310,50116,73048.12,0.0918,1
311,52700,87162.98,0.0528,2
312,23331,15702.73,0.0636,2
313,84279,10316.14,0.0898,2
314,55227,68192.48,0.0735,5
315,8403,87163.17,0.0631,2
316,53344,12744.48,0.0846,5
317,51493,24546.21,0.0679,5
318,86314,85594.32,0.0883,4
319,64289,77260.2,0.0752,2
320,92494,39140.07,0.0593,2
321,79946,26896.49,0.1,3
322,31994,30144.33,0.058,3
323,82176,49105.97,0.0726,4
324,41751,69214.98,0.0702,2
325,40146,90513.92,0.0778,5
326,24841,75867.11,0.0799,3
327,64605,31544.82,0.093,4
328,63071,73171.74,0.074,2
329,7191,39726.67,0.0807,4
330,55926,3929.5,0.0905,5
331,36990,11310.62,0.0583,2
332,94238,69882.86,0.0639,5
333,98000,28326.5,0.0821,1
334,36344,89011.42,0.0803,4
335,73431,61635.58,0.0885,4
336,78205,97093.47,0.0864,4
337,66539,23256.45,0.0797,3
338,1468,27280.28,0.0836,4
339,28893,27707.16,0.083,2
340,68450,8997.42,0.0625,5
341,17171,29497.02,0.0502,3
342,56601,79282.28,0.0806,1
343,53570,47799.84,0.0841,4
344,46833,22049.83,0.0811,5
345,27000,54694.09,0.065,5
346,63096,2200.38,0.0956,4
347,42562,80739.38,0.0701,5
348,29168,34583.11,0.0676,5
349,21976,20418.31,0.0705,2
350,26666,55861.05,0.0642,5
351,45277,64288.44,0.0578,4
352,97395,74994.24,0.0815,2
353,63464,68308.13,0.0574,4
354,67284,96764.65,0.0959,2
355,3335,6916.68,0.0796,1
356,90949,42995.67,0.0534,1
357,83643,6498.26,0.0698,2
358,52263,65973.07,0.0766,4
359,7534,30990.51,0.0942,5
360,4785,48007.88,0.0914,3
361,29564,27357.26,0.0578,2
362,96619,81822.95,0.0892,4
363,80912,69308.48,0.0892,1
364,97092,3824.42,0.0741,3
365,71640,33905.94,0.0846,4
366,47082,57102.02,0.0852,4
367,58156,5183.66,0.0576,1
368,38917,1692.49,0.0766,1
369,98279,84882.19,0.0834,2
370,48611,3618.88,0.0745,4
371,99248,44265.41,0.0777,2
372,41514,74374.38,0.0662,4
373,87622,89542.5,0.0552,1
374,56855,66887.16,0.0829,4
375,99308,4742.63,0.0514,1
376,50522,41186.14,0.0823,5
377,72732,40460.51,0.0951,5
378,60619,47697.35,0.0648,5
379,92018,84238.41,0.0549,3
380,66074,4394.84,0.0975,5
381,50914,67874.57,0.0608,2
382,8014,19780.29,0.0861,5
383,42766,75836.09,0.0655,3
384,63386,6800.22,0.0793,5
385,12402,57948.5,0.0886,4
386,67792,63163.49,0.0751,5
387,46023,20247.64,0.0731,5
388,90146,27247.36,0.0727,5
389,505,99176.81,0.0596,3
390,48999,98086.53,0.0849,3
391,15798,53651.32,0.0563,1
392,81232,75713.16,0.0708,3
393,29051,7306.81,0.0933,5
394,24828,59744.08,0.0988,3
395,52240,17183.58,0.0581,1
396,43981,77711.16,0.0709,4
397,65467,90506.81,0.0629,3
398,74868,43697.31,0.0854,3
399,60538,2944.35,0.0929,1
400,1250,46889.72,0.0584,5
401,31552,74799.55,0.0555,5
402,1084,58988.7,0.0889,5
403,30001,51009.06,0.0888,2
404,76938,31589.63,0.0535,3
405,40923,93363.45,0.0935,2
406,73473,14049.11,0.0775,1
407,69990,60305.98,0.0956,2
408,18049,92829.38,0.061,3
409,58243,47123.89,0.0897,1
410,94998,74085.55,0.0557,5
411,40638,47120.06,0.0936,3
412,60080,89723.03,0.0852,2
413,8,18964.02,0.0683,3
414,58951,26787.24,0.0508,3
415,12923,66920.79,0.0614,5
416,83507,18361.14,0.0843,1
417,85497,55629.81,0.0961,4
418,76743,49146.45,0.0577,4
419,98767,83957.19,0.0827,1
420,57873,66597.13,0.0722,3
421,5855,67819.22,0.066,2
422,77419,57700.76,0.0502,2
423,5320,80471.63,0.0742,4
424,8076,90096.45,0.0577,3
425,24609,59231.69,0.0564,1
426,87104,19731.01,0.0646,1
427,20673,86421.6,0.0989,5
428,60762,64526.32,0.051,4
429,21679,1312.07,0.0633,3
430,98242,8059.64,0.0611,1
431,72004,77808.84,0.0932,1
432,70327,72273.0,0.0672,3
433,6984,21355.19,0.061,3
434,15769,20439.94,0.0673,1
435,70942,87541.33,0.0579,3
436,57810,66987.6,0.0933,2
437,21710,87834.52,0.0708,2
438,17247,23751.83,0.0618,4
439,99763,23719.97,0.0697,1
440,42147,81626.72,0.0877,4
441,67670,46562.51,0.0653,1
442,88675,63489.45,0.0545,3
443,86338,9463.29,0.0847,5
444,6759,99380.58,0.099,4
445,37698,25895.79,0.0505,5
446,21974,2179.62,0.086,3
447,30857,15588.53,0.0603,5
448,98131,6998.9,0.0555,4
449,58841,95330.53,0.0857,3
450,75530,99116.85,0.0891,1
451,97673,78113.29,0.0812,2
452,91261,48390.87,0.064,3
453,1868,72116.31,0.0918,2
454,31173,90375.27,0.0911,2
455,57996,83559.2,0.0873,3
456,63297,4158.43,0.0715,3
457,23876,15627.11,0.0538,4
458,64776,94693.9,0.0693,2
459,36419,62868.89,0.0893,4
460,33945,12173.07,0.0856,1
461,11711,91320.64,0.0765,1
462,26251,21764.07,0.092,3
463,49631,36269.79,0.0898,5
464,10619,38835.3,0.0697,3
465,9147,79282.19,0.0922,3
466,58278,31715.76,0.0702,2
467,49094,55972.57,0.0624,5
468,30401,92126.06,0.098,2
469,30687,60977.23,0.0708,1
470,5972,30598.98,0.0991,4
471,44728,82351.32,0.0701,1
472,98625,7633.73,0.0781,2
473,59806,60262.22,0.084,5
474,10529,69813.67,0.0518,3
475,87293,63488.03,0.0839,1
476,61530,89507.0,0.0567,2
477,38596,92579.55,0.0997,1
478,81322,81348.47,0.0854,2
479,28989,96253.55,0.0729,2
480,14962,5828.31,0.0702,3
481,11972,88336.92,0.0744,3
482,55410,20080.04,0.0811,2
483,42985,68017.98,0.0764,2
484,37102,93956.56,0.0566,5
485,42249,70718.33,0.0954,4
486,79417,99054.49,0.0626,1
487,6946,11997.23,0.0844,1
488,35153,3300.13,0.0677,5
489,98814,73606.99,0.0538,1
490,51481,39738.54,0.0524,5
491,92611,50901.66,0.0819,5
492,1603,5880.07,0.0947,5
493,96309,62938.98,0.0541,5
494,96996,6438.16,0.0793,5
495,19592,14685.77,0.0823,3
496,46264,63142.11,0.0745,5
497,44455,78648.11,0.0594,3
498,57880,18902.62,0.0983,2
499,46358,39761.59,0.0588,3
500,2749,31932.53,0.0628,2
501,67813,1255.25,0.0664,1
502,89667,91399.61,0.0987,3
503,19536,58616.1,0.0812,1
504,11847,35334.38,0.0782,2
505,81831,25381.52,0.0579,4
506,62617,21389.98,0.0628,5
507,97390,95971.58,0.0994,5
508,98252,33904.93,0.0849,4
509,72761,4920.95,0.0514,5
510,24741,5575.25,0.074,3
511,67027,21869.13,0.0812,4
512,1977,55779.75,0.0798,5
513,63934,61910.72,0.0964,1
514,42348,72973.51,0.0959,1
515,32890,4159.04,0.069,1
516,7945,55601.52,0.0886,2
517,50402,74632.61,0.0707,5
518,68548,12205.34,0.0866,1
519,48866,59204.11,0.0537,1
520,68261,72282.76,0.0678,4
521,714,44188.29,0.096,5
522,9983,81254.28,0.0832,4
523,41380,52887.91,0.0875,4
524,11212,59345.37,0.0919,4
525,99234,43543.92,0.0771,2
526,91265,1353.44,0.0634,1
527,35847,88447.61,0.0794,4
528,43090,20223.64,0.0508,1
529,4068,83382.72,0.0876,2
530,96600,80179.02,0.0902,4
531,25087,76527.13,0.0906,1
532,29709,45212.87,0.0957,2
533,32807,31013.49,0.0814,4
534,57072,19516.84,0.0788,1
535,17379,98559.93,0.0803,5
536,29333,19897.81,0.0877,2
537,44624,59351.72,0.0984,3
538,46170,38920.5,0.0833,1
539,39212,5326.43,0.0837,3
540,79213,61298.72,0.0736,5
541,72208,52430.41,0.0709,1
542,97103,69867.88,0.0678,2
543,19716,80149.12,0.0659,4
544,27471,77566.6,0.0678,3
545,96261,50915.44,0.0918,4
546,63942,68294.38,0.0533,2
547,69332,5130.75,0.0631,3
548,79133,23088.48,0.0673,3
549,5396,64193.0,0.0625,2
550,96121,97879.68,0.0923,5
551,96702,49922.13,0.0675,3
552,90306,26565.56,0.0799,4
553,25818,57645.28,0.0931,2
554,37102,83680.3,0.0862,2
555,93530,23107.98,0.0763,2
556,8559,12630.46,0.0767,5
557,18401,31201.31,0.0591,4
558,82552,57559.42,0.0783,1
559,62780,7426.95,0.0714,4
560,64153,79309.3,0.0891,3
561,24108,27139.55,0.0934,1
562,24189,65950.48,0.0622,5
563,70728,87346.54,0.0836,2
564,98021,51549.73,0.0868,1
565,73367,28064.16,0.0684,1
566,4846,40412.05,0.086,3
567,19003,3358.72,0.0539,1
568,19444,61855.01,0.0692,2
569,87195,59247.32,0.0543,2
570,5450,45202.77,0.0815,1
571,69244,57989.58,0.0695,2
572,39678,68389.13,0.0787,5
573,58613,78718.67,0.0787,3
574,80799,2969.34,0.0621,4
575,53928,6057.24,0.0605,5
576,86912,54596.49,0.0742,5
577,22335,84397.52,0.0939,2
578,548,12543.73,0.0534,5
579,56640,10273.46,0.0622,5
580,25266,29458.21,0.0828,5
581,56181,39668.06,0.0916,3
582,24536,60047.74,0.0719,3
583,75943,75094.64,0.0973,5
584,3076,7772.14,0.0551,2
585,32759,7985.36,0.0805,4
586,13049,54423.06,0.0972,1
587,13996,18520.5,0.084,1
588,83698,84170.23,0.0575,1
589,62405,77550.01,0.0959,3
590,62570,50186.99,0.0951,1
591,16275,84531.52,0.081,2
592,63231,47811.68,0.0855,4
593,38612,54509.2,0.0544,5
594,48775,30171.79,0.0529,5
595,12540,40918.22,0.0556,4
596,53388,24344.29,0.0721,4
597,10618,72938.39,0.0558,5
598,56452,26181.67,0.0506,1
599,22280,31716.62,0.0889,4
600,77579,44894.35,0.0991,2
601,10836,78990.87,0.0721,1
602,35908,55536.57,0.0614,3
603,36448,14780.11,0.0596,2
604,81707,3706.36,0.0589,4
605,7697,72003.84,0.0926,2
606,26423,84894.2,0.0848,3
607,18530,83091.41,0.0882,4
608,9675,1358.56,0.0682,3
609,57762,81188.23,0.0562,5
610,15751,51305.75,0.0798,1
611,93320,75098.09,0.0917,4
612,94716,78769.65,0.0515,2
613,86780,67906.37,0.0884,2
614,26726,85214.24,0.0639,2
615,36764,56291.53,0.085,5
616,38404,48984.93,0.0651,5
617,64507,4329.0,0.0942,1
618,24804,91850.24,0.0747,3
619,41341,4422.84,0.0999,1
620,90227,2120.51,0.0735,3
621,90281,90620.64,0.0935,2
622,48076,79127.61,0.0771,4
623,28045,84477.39,0.0664,4
624,67780,33249.82,0.0805,3
625,13415,66331.38,0.097,3
626,71366,19699.44,0.0638,4
627,86806,21128.75,0.0536,4
628,16962,27677.5,0.0638,1
629,91325,55013.45,0.0689,3
630,68579,63779.88,0.0984,5
631,22262,60170.37,0.0649,5
632,64704,11318.21,0.0873,2
633,26943,43342.88,0.0623,1
634,21179,28972.01,0.0791,5
635,48434,49984.12,0.0589,1
636,18161,9638.58,0.0768,2
637,87964,2859.76,0.0569,1
638,72122,78352.71,0.0883,4
639,367,9801.44,0.0714,3
640,64772,19176.43,0.0719,4
641,66257,8442.83,0.0793,5
642,53884,34132.95,0.0976,5
643,74297,91061.66,0.0848,4
644,95431,53791.28,0.0903,5
645,29798,36749.34,0.095,3
646,90388,26804.42,0.0627,3
647,25794,13337.8,0.0653,2
648,83788,51827.35,0.0575,5
649,89302,38185.17,0.0538,4
650,6776,76817.53,0.0949,5
651,63983,94408.88,0.0778,1
652,36413,1608.56,0.0978,4
653,47520,56925.35,0.0708,5
654,21324,36974.17,0.081,1
655,33401,90706.81,0.0946,2
656,82060,82867.28,0.0928,3
657,49825,64304.07,0.0981,5
658,19416,57134.43,0.0592,3
659,69687,63556.49,0.0846,5
660,84977,73460.12,0.0549,3
661,60025,84993.08,0.0856,4
662,50472,59142.41,0.079,2
663,90882,67376.54,0.075,1
664,89507,61690.85,0.0913,4
665,51424,28394.94,0.0986,1
666,97239,5936.51,0.0859,5
667,1452,44895.19,0.0788,3
668,14289,54835.26,0.0547,1
669,7224,14818.7,0.0537,4
670,58875,55925.56,0.0514,3
671,8770,99016.29,0.0808,1
672,8622,18545.52,0.0618,3
673,90817,61143.01,0.0871,1
674,32457,36302.4,0.0991,1
675,61836,66883.16,0.063,5
676,36847,22692.68,0.0541,1
677,15337,33438.75,0.0718,4
678,96781,71662.38,0.0968,5
679,56514,89867.93,0.0946,3
680,9486,86100.74,0.0762,4
681,3716,41627.6,0.0837,4
682,90144,63640.37,0.0789,1
683,11181,43911.87,0.0609,3
684,73839,68328.47,0.0899,2
685,1061,96200.8,0.0694,4
686,76965,16659.99,0.0607,2
687,51080,82292.34,0.0747,1
688,59182,31214.51,0.0563,4
689,48837,94911.71,0.0806,4
690,67587,92706.14,0.0593,1
691,8724,26752.52,0.0691,4
692,85749,61831.56,0.0732,4
693,63274,48249.13,0.0825,3
694,46969,43899.03,0.0543,5
695,53775,67169.34,0.0561,2
696,55880,25828.28,0.0669,3
697,25007,11358.99,0.0852,2
698,5556,39609.98,0.0721,3
699,49088,58506.04,0.099,5
700,44326,32379.11,0.0574,4
701,583,78153.06,0.0735,3
702,38406,89573.61,0.0847,3
703,32805,50905.07,0.0657,5
704,20136,84350.22,0.0578,1
705,57317,6852.35,0.0974,3
706,87401,81364.28,0.0804,5
707,22043,5542.32,0.0995,5
708,51314,10818.88,0.0829,2
709,31259,78616.33,0.0674,1
710,28446,70614.85,0.0759,2
711,83988,99703.09,0.0834,3
712,54370,80793.57,0.0512,5
713,792,30258.86,0.0932,5
714,32713,64701.25,0.0617,4
715,63572,94118.66,0.0751,2
716,74094,35842.6,0.0625,1
717,3529,31350.95,0.0524,1
718,88036,81635.57,0.0572,4
719,56895,23314.62,0.0821,3
720,17616,4304.25,0.085,1
721,32084,45244.24,0.0681,4
722,61880,91290.01,0.0826,1
723,49471,24501.91,0.051,3
724,27538,61136.18,0.0616,3
725,12112,43558.31,0.0667,1
726,88945,58521.17,0.0999,3
727,17528,30541.63,0.099,3
728,8356,3839.97,0.0509,5
729,38412,66037.49,0.0526,1
730,22357,30457.27,0.0698,5
731,60711,89664.05,0.0783,1
732,81112,13303.11,0.0872,5
733,54921,86307.28,0.0809,4
734,63032,38503.17,0.0674,5
735,69771,97328.06,0.0585,3
736,61429,12553.02,0.0964,2
737,28261,24152.32,0.0531,5
738,29855,45233.52,0.0574,5
739,67981,35056.95,0.0815,1
740,80672,64734.09,0.0613,3
741,71664,24342.72,0.0846,2
742,64639,13324.18,0.0649,3
743,12284,70785.11,0.0823,2
744,91412,37850.42,0.0779,5
745,99154,84738.13,0.0508,1
746,70979,24292.02,0.053,3
747,72002,26306.24,0.0768,1
748,37975,24893.59,0.0617,1
749,37479,70624.09,0.0578,1
750,7047,16238.33,0.0908,3
751,92808,88821.87,0.0814,2
752,64326,72823.17,0.0788,5
753,80244,13731.0,0.0513,4
754,60423,83074.39,0.0716,2
755,69063,80010.49,0.0672,2
756,64808,78825.77,0.0642,1
757,91648,78178.59,0.0846,5
758,88778,54938.39,0.0748,1
759,93878,18212.5,0.0508,1
760,2622,32557.24,0.0556,1
761,48809,86508.65,0.0723,3
762,73022,95101.13,0.0521,3
763,67908,21294.46,0.0694,3
764,61256,46188.47,0.0572,1
765,58795,18549.08,0.0966,2
766,8752,25233.41,0.079,1
767,88909,44113.3,0.0671,4
768,78591,48794.76,0.0538,1
769,8981,48914.16,0.0603,2
770,62041,46234.83,0.0643,2
771,89511,26864.39,0.0614,3
772,46110,83869.33,0.0597,1
773,46492,9854.18,0.0865,3
774,88155,15521.34,0.0528,4
775,311,61209.87,0.0528,3
776,39986,4030.84,0.0606,4
777,90918,40605.49,0.0886,5
778,20596,58938.91,0.0612,2
779,71682,13282.07,0.0904,3
780,18181,51859.15,0.0874,4
781,25813,9956.91,0.053,3
782,66440,25485.93,0.0883,5
783,97094,6899.98,0.0807,3
784,43218,84966.1,0.0834,4
785,76931,81546.57,0.0741,5
786,53855,19315.3,0.0562,4
787,16829,72133.95,0.096,5
788,77823,72938.08,0.0797,5
789,15797,70233.83,0.0863,4
790,50326,24101.43,0.0817,1
791,14084,55051.51,0.0605,1
792,51113,95567.66,0.0886,2
793,99081,73362.36,0.086,4
794,36989,49728.58,0.0997,4
795,18459,90707.95,0.0935,2
796,79510,78031.19,0.0581,4
797,23447,68031.51,0.0654,1
798,43120,54955.81,0.0638,2
799,27056,98198.8,0.0684,4
800,4738,1742.61,0.0626,2
801,51739,85668.19,0.0604,1
802,55264,38552.34,0.0671,1
803,44482,99901.21,0.0739,2
804,59887,29685.1,0.0857,2
805,14957,85186.41,0.0579,2
806,81690,81383.01,0.0792,2
807,14480,81939.86,0.051,3
808,57750,40305.87,0.0821,4
809,11860,97578.06,0.0703,1
810,99885,83295.72,0.094,1
811,46214,71847.73,0.0749,5
812,38714,22032.76,0.0973,3
813,66793,46458.89,0.0699,3
814,49667,66661.36,0.0795,1
815,21683,69123.73,0.0852,2
816,25524,56074.94,0.0952,3
817,92944,61508.21,0.0759,1
818,30158,48193.97,0.0549,3
819,83714,67176.08,0.0622,1
820,33178,37579.18,0.0858,2
821,88405,18136.51,0.0941,2
822,65234,48612.51,0.0778,3
823,38477,65349.59,0.0723,3
824,95928,93114.68,0.0906,2
