transaction_id,account_id,transaction_type,transaction_amount,transaction_date
70,87499,Transfer,-658.51,2023-03-30
71,55246,Transfer,-750.19,2023-03-15
72,68435,Withdrawal,943.09,2023-03-02
73,78521,Transfer,-425.52,2023-03-05
74,91386,Deposit,-871.72,2023-03-03
75,34215,Deposit,-163.35,2023-03-15
76,74677,Withdrawal,-229.08,2023-03-28
77,38167,Deposit,-901.48,2023-03-27
78,84806,Transfer,537.36,2023-03-16
79,92889,Deposit,633.35,2023-03-12
80,68528,Transfer,-97.13,2023-03-01
81,792,Deposit,793.14,2023-03-02
82,80142,Transfer,-287.37,2023-03-18
83,44456,Withdrawal,956.11,2023-03-23
84,6338,Deposit,-898.04,2023-03-24
85,27913,Deposit,675.14,2023-03-17
86,53439,Deposit,168.51,2023-03-26
87,75448,Deposit,876.33,2023-03-17
88,54600,Deposit,411.93,2023-03-08
89,43552,Withdrawal,178.3,2023-03-15
90,44483,Deposit,443.97,2023-03-22
91,6067,Transfer,879.16,2023-03-16
92,64661,Transfer,-9.91,2023-03-30
93,52044,Withdrawal,-834.44,2023-03-03
94,89007,Deposit,-22.36,2023-03-12
95,96233,Withdrawal,-941.33,2023-03-06
96,84225,Withdrawal,976.88,2023-03-25
97,90588,Withdrawal,974.22,2023-03-24
98,2056,Transfer,-330.77,2023-03-05
99,87561,Transfer,-939.53,2023-03-22
100,20577,Transfer,-833.26,2023-03-05
101,66802,Deposit,354.04,2023-03-27
102,39973,Transfer,481.18,2023-03-30
103,92227,Withdrawal,899.46,2023-03-22
104,62720,Withdrawal,-47.52,2023-03-31
105,183,Transfer,-888.73,2023-03-03
106,68186,Deposit,382.75,2023-03-15
107,7175,Deposit,-216.6,2023-03-27
108,38641,Withdrawal,-896.61,2023-03-03
109,19700,Deposit,-580.54,2023-03-26
110,65778,Withdrawal,485.18,2023-03-14
111,208,Deposit,-774.69,2023-03-11
112,33568,Deposit,219.64,2023-03-01
113,48838,Withdrawal,172.7,2023-03-13
114,46006,Transfer,282.37,2023-03-28
115,93782,Transfer,-930.56,2023-03-22
116,7050,Deposit,530.84,2023-03-06
117,47181,Deposit,-963.55,2023-03-04
118,10342,Deposit,696.42,2023-03-20
119,19495,Withdrawal,-750.1,2023-03-29
120,61743,Deposit,-979.18,2023-03-18
121,40506,Withdrawal,363.13,2023-03-25
122,22114,Deposit,-799.14,2023-03-28
123,46475,Transfer,824.99,2023-03-06
124,73925,Transfer,-538.48,2023-03-05
125,82348,Withdrawal,-299.09,2023-03-07
126,72260,Deposit,-922.36,2023-03-01
127,2382,Transfer,633.85,2023-03-26
128,32672,Withdrawal,-833.15,2023-03-05
129,53130,Withdrawal,786.73,2023-03-13
130,33858,Deposit,-578.42,2023-03-28
131,72028,Transfer,-615.71,2023-03-12
132,26197,Withdrawal,-262.71,2023-03-25
133,73704,Withdrawal,624.26,2023-03-18
134,67870,Transfer,-706.88,2023-03-28
135,62396,Transfer,-587.71,2023-03-03
136,44644,Withdrawal,105.32,2023-03-06
137,13275,Deposit,-487.51,2023-03-07
138,45242,Withdrawal,111.95,2023-03-27
139,31231,Transfer,400.53,2023-03-19
140,30975,Transfer,419.63,2023-03-12
141,86351,Transfer,-806.56,2023-03-21
142,97400,Withdrawal,241.38,2023-03-14
143,37283,Transfer,-581.48,2023-03-21
144,26373,Deposit,409.12,2023-03-29
145,62612,Transfer,138.54,2023-03-14
146,84257,Withdrawal,-392.14,2023-03-07
147,72546,Transfer,-615.61,2023-03-01
148,45784,Transfer,807.84,2023-03-26
149,72869,Transfer,-221.14,2023-03-30
150,7243,Deposit,176.94,2023-03-29
151,23594,Deposit,-33.86,2023-03-01
152,5289,Withdrawal,288.01,2023-03-28
153,60812,Deposit,-553.97,2023-03-02
154,65476,Deposit,-948.55,2023-03-22
155,5166,Deposit,297.87,2023-03-09
156,35181,Withdrawal,-555.79,2023-03-16
157,1665,Transfer,932.68,2023-03-02
158,75866,Transfer,-506.82,2023-03-25
159,50682,Transfer,748.0,2023-03-12
160,89417,Withdrawal,0.35,2023-03-14
161,86181,Deposit,296.58,2023-03-08
162,73687,Withdrawal,430.93,2023-03-04
163,96518,Transfer,509.44,2023-03-19
164,27184,Withdrawal,51.34,2023-03-14
165,42594,Deposit,-94.27,2023-03-05
166,26610,Withdrawal,940.06,2023-03-14
167,5107,Withdrawal,-478.87,2023-03-04
168,56415,Withdrawal,807.16,2023-03-13
169,61052,Transfer,738.48,2023-03-21
170,94281,Withdrawal,547.09,2023-03-21
171,24524,Deposit,931.54,2023-03-02
172,68560,Deposit,-189.72,2023-03-09
173,79606,Withdrawal,424.55,2023-03-19
174,47375,Transfer,427.49,2023-03-03
175,55446,Deposit,-477.29,2023-03-19
176,1891,Withdrawal,580.03,2023-03-25
177,20519,Withdrawal,235.53,2023-03-17
178,39893,Transfer,-824.08,2023-03-27
179,73945,Transfer,809.27,2023-03-16
180,49161,Withdrawal,740.08,2023-03-13
181,3595,Withdrawal,767.56,2023-03-01
182,33378,Transfer,167.3,2023-03-16
183,13281,Transfer,-389.11,2023-03-27
184,2997,Deposit,94.44,2023-03-04
185,46030,Transfer,170.07,2023-03-30
186,19577,Deposit,-576.86,2023-03-15
187,60668,Deposit,959.82,2023-03-12
188,87990,Deposit,-149.72,2023-03-09
189,95902,Deposit,-755.48,2023-03-27
190,42907,Transfer,-463.61,2023-03-24
191,20898,Withdrawal,233.04,2023-03-26
192,17609,Withdrawal,871.25,2023-03-13
193,60397,Deposit,964.59,2023-03-13
194,53915,Withdrawal,157.61,2023-03-28
195,34740,Transfer,73.05,2023-03-15
196,32524,Deposit,-958.97,2023-03-30
197,25783,Withdrawal,-418.93,2023-03-11
198,39707,Withdrawal,-853.56,2023-03-18
199,90408,Withdrawal,982.01,2023-03-18
200,23902,Withdrawal,987.4,2023-03-13
201,65085,Withdrawal,-226.39,2023-03-04
202,53240,Withdrawal,-87.39,2023-03-25
203,12539,Transfer,838.15,2023-03-24
204,86975,Withdrawal,-990.33,2023-03-21
205,18184,Deposit,538.47,2023-03-20
206,7751,Deposit,-196.72,2023-03-01
207,2071,Deposit,-590.43,2023-03-22
208,33135,Transfer,-833.91,2023-03-29
209,96719,Withdrawal,-177.66,2023-03-16
210,92642,Deposit,-888.08,2023-03-24
211,82192,Withdrawal,233.14,2023-03-04
212,67955,Deposit,901.68,2023-03-16
213,55017,Transfer,813.66,2023-03-02
214,57250,Withdrawal,341.4,2023-03-24
215,25773,Transfer,670.25,2023-03-01
216,12101,Withdrawal,-585.31,2023-03-28
217,59982,Withdrawal,-933.83,2023-03-30
218,33829,Withdrawal,814.74,2023-03-01
219,5850,Deposit,-399.84,2023-03-26
220,9398,Deposit,-720.89,2023-03-02
221,55391,Transfer,494.13,2023-03-29
222,80919,Transfer,-294.68,2023-03-24
223,24918,Deposit,-533.69,2023-03-12
224,26848,Withdrawal,-457.4,2023-03-01
225,81945,Transfer,395.73,2023-03-21
226,37509,Withdrawal,516.92,2023-03-29
227,7164,Withdrawal,-541.18,2023-03-13
228,7004,Transfer,304.4,2023-03-03
229,40018,Transfer,295.75,2023-03-18
230,35270,Transfer,244.98,2023-03-06
231,35537,Deposit,100.96,2023-03-29
232,76102,Transfer,-68.87,2023-03-22
233,64844,Withdrawal,-844.88,2023-03-19
234,74404,Withdrawal,729.44,2023-03-05
235,41477,Deposit,150.35,2023-03-13
236,93975,Deposit,227.32,2023-03-31
237,39855,Transfer,-512.03,2023-03-24
238,69546,Transfer,313.97,2023-03-05
239,55182,Deposit,523.83,2023-03-20
240,55797,Transfer,-797.85,2023-03-05
241,18241,Withdrawal,624.59,2023-03-07
242,51388,Transfer,144.12,2023-03-14
243,73227,Deposit,873.4,2023-03-06
244,77706,Transfer,-172.04,2023-03-09
245,43506,Withdrawal,375.29,2023-03-17
246,42014,Deposit,-799.85,2023-03-18
247,66452,Withdrawal,540.77,2023-03-01
248,16573,Transfer,814.47,2023-03-08
249,60487,Transfer,-441.33,2023-03-13
250,78813,Transfer,-422.53,2023-03-23
251,61752,Deposit,-427.19,2023-03-04
252,93998,Deposit,509.93,2023-03-12
253,29568,Withdrawal,-587.17,2023-03-15
254,81125,Transfer,454.68,2023-03-09
255,69077,Transfer,-573.06,2023-03-06
256,59202,Deposit,-358.56,2023-03-26
257,74048,Withdrawal,-501.74,2023-03-25
258,65351,Deposit,-398.46,2023-03-19
259,62790,Transfer,-909.02,2023-03-29
260,12903,Deposit,34.72,2023-03-19
261,74889,Transfer,-238.48,2023-03-02
262,76819,Transfer,430.97,2023-03-22
263,90390,Withdrawal,887.27,2023-03-01
264,46976,Deposit,-187.14,2023-03-29
265,18233,Withdrawal,-705.74,2023-03-02
266,83619,Deposit,637.79,2023-03-22
267,3036,Withdrawal,-74.27,2023-03-13
268,92955,Deposit,-361.33,2023-03-17
269,22413,Withdrawal,-518.45,2023-03-04
270,91866,Deposit,-416.23,2023-03-14
271,76923,Deposit,256.14,2023-03-23
272,18654,Transfer,226.56,2023-03-22
273,59655,Deposit,-659.97,2023-03-26
274,50039,Deposit,492.82,2023-03-05
275,98459,Deposit,-294.93,2023-03-24
276,45324,Withdrawal,896.68,2023-03-20
277,88014,Transfer,420.98,2023-03-21
278,11529,Deposit,905.77,2023-03-02
279,8827,Withdrawal,-43.44,2023-03-14
280,66680,Transfer,634.63,2023-03-06
281,14881,Transfer,-208.24,2023-03-17
282,770,Withdrawal,262.77,2023-03-24
283,62937,Withdrawal,430.8,2023-03-03
284,98998,Transfer,213.2,2023-03-11
285,37882,Deposit,211.21,2023-03-11
286,29610,Withdrawal,-70.64,2023-03-27
287,92700,Transfer,417.14,2023-03-24
288,12725,Deposit,682.27,2023-03-07
289,21386,Withdrawal,-466.54,2023-03-04
290,41236,Withdrawal,-722.23,2023-03-02
291,75716,Withdrawal,-917.3,2023-03-13
292,90824,Transfer,550.77,2023-03-28
293,44963,Deposit,153.63,2023-03-04
294,41634,Deposit,-628.84,2023-03-22
295,66623,Deposit,-185.25,2023-03-11
296,53962,Deposit,-364.83,2023-03-02
297,53861,Transfer,853.52,2023-03-17
298,87687,Transfer,-745.31,2023-03-23
299,1175,Deposit,50.51,2023-03-21
300,36583,Withdrawal,-350.74,2023-03-26
301,94279,Withdrawal,883.16,2023-03-18
302,62669,Transfer,-210.02,2023-03-27
303,57457,Withdrawal,19.98,2023-03-26
304,67383,Deposit,-332.51,2023-03-10
305,83415,Withdrawal,-984.69,2023-03-10
306,45192,Transfer,399.46,2023-03-13
307,5979,Transfer,-443.53,2023-03-02
308,73416,Transfer,-312.89,2023-03-27
309,66237,Transfer,475.94,2023-03-04
310,83412,Deposit,-427.39,2023-03-11
311,24609,Deposit,363.41,2023-03-23
312,16025,Deposit,603.73,2023-03-07
313,67430,Withdrawal,252.59,2023-03-28
314,3187,Deposit,-933.83,2023-03-26
315,9490,Deposit,859.32,2023-03-16
316,1792,Withdrawal,181.21,2023-03-17
317,54379,Deposit,854.97,2023-03-18
318,37950,Withdrawal,416.39,2023-03-08
319,50149,Transfer,-275.61,2023-03-03
320,71814,Deposit,139.38,2023-03-29
321,96972,Transfer,956.82,2023-03-10
322,80768,Withdrawal,381.49,2023-03-12
323,1375,Transfer,918.79,2023-03-19
324,53575,Deposit,536.54,2023-03-17
325,26367,Withdrawal,497.62,2023-03-20
326,59376,Deposit,-206.01,2023-03-08
327,64442,Deposit,60.87,2023-03-12
328,41404,Deposit,212.74,2023-03-01
329,6456,Deposit,646.05,2023-03-15
330,1034,Withdrawal,-879.17,2023-03-06
331,5857,Withdrawal,181.84,2023-03-12
332,74051,Deposit,218.53,2023-03-18
333,95961,Deposit,-23.79,2023-03-28
334,35773,Transfer,17.12,2023-03-02
335,64448,Withdrawal,-908.77,2023-03-06
336,6222,Withdrawal,-728.69,2023-03-14
337,53273,Transfer,-296.48,2023-03-15
338,56040,Transfer,795.17,2023-03-20
339,7375,Deposit,-559.06,2023-03-15
340,98097,Deposit,833.89,2023-03-14
341,59687,Transfer,905.58,2023-03-30
342,90115,Transfer,296.1,2023-03-30
343,95764,Withdrawal,941.75,2023-03-15
344,89290,Deposit,831.07,2023-03-22
345,38905,Transfer,406.79,2023-03-27
346,17150,Transfer,108.5,2023-03-28
347,41909,Withdrawal,70.09,2023-03-19
348,5791,Deposit,-986.87,2023-03-04
349,60697,Transfer,847.98,2023-03-13
350,2909,Deposit,477.28,2023-03-18
351,68244,Withdrawal,-854.11,2023-03-21
352,99761,Deposit,-569.05,2023-03-26
353,33607,Transfer,-919.44,2023-03-22
354,45072,Transfer,620.36,2023-03-13
355,39645,Withdrawal,-258.61,2023-03-02
356,61661,Deposit,13.83,2023-03-11
357,36428,Withdrawal,-988.6,2023-03-23
358,69900,Withdrawal,-497.21,2023-03-08
359,22903,Transfer,-816.14,2023-03-22
360,29306,Deposit,837.65,2023-03-18
361,33981,Withdrawal,766.98,2023-03-31
362,74013,Withdrawal,737.37,2023-03-04
363,63933,Deposit,354.01,2023-03-13
364,92814,Transfer,-961.82,2023-03-16
365,17168,Withdrawal,-525.67,2023-03-30
366,34918,Transfer,-81.61,2023-03-09
367,22017,Withdrawal,951.75,2023-03-08
368,3184,Deposit,-729.19,2023-03-19
369,97759,Deposit,-669.83,2023-03-07
370,35204,Deposit,342.92,2023-03-15
371,45699,Withdrawal,-58.08,2023-03-07
372,95237,Transfer,329.21,2023-03-21
373,89932,Transfer,-288.63,2023-03-18
374,34815,Withdrawal,141.8,2023-03-13
375,94302,Withdrawal,-394.03,2023-03-06
376,3903,Deposit,813.41,2023-03-15
377,39581,Withdrawal,519.72,2023-03-03
378,30047,Transfer,295.71,2023-03-09
379,47924,Deposit,591.03,2023-03-27
380,78866,Withdrawal,-59.08,2023-03-17
381,54491,Transfer,-514.71,2023-03-16
382,52819,Deposit,143.17,2023-03-25
383,45000,Withdrawal,311.27,2023-03-31
384,58251,Deposit,-850.26,2023-03-11
385,17927,Transfer,-841.64,2023-03-21
386,34158,Transfer,-840.09,2023-03-18
387,39053,Deposit,-176.87,2023-03-27
388,98015,Withdrawal,-507.84,2023-03-28
389,12164,Deposit,706.65,2023-03-14
390,69788,Withdrawal,-677.46,2023-03-19
391,5166,Withdrawal,-115.71,2023-03-21
392,59731,Transfer,8.76,2023-03-04
393,86801,Transfer,848.86,2023-03-14
394,80902,Deposit,-132.91,2023-03-03
395,46699,Withdrawal,110.22,2023-03-14
396,67358,Transfer,544.24,2023-03-17
397,37562,Transfer,-127.64,2023-03-26
398,30576,Withdrawal,-691.73,2023-03-13
399,19639,Withdrawal,-472.95,2023-03-06
400,75651,Withdrawal,-945.84,2023-03-19
401,95620,Transfer,886.23,2023-03-09
402,42692,Deposit,-417.75,2023-03-18
403,63696,Transfer,-401.0,2023-03-05
404,92070,Transfer,892.58,2023-03-04
405,5084,Withdrawal,-984.31,2023-03-26
406,84146,Withdrawal,-623.43,2023-03-18
407,96499,Transfer,962.8,2023-03-26
408,74439,Withdrawal,-650.32,2023-03-08
409,16844,Withdrawal,218.2,2023-03-18
410,61646,Transfer,664.07,2023-03-10
411,22728,Transfer,54.79,2023-03-18
412,65763,Withdrawal,182.13,2023-03-07
413,25215,Withdrawal,822.52,2023-03-29
414,96997,Deposit,373.93,2023-03-31
415,22524,Withdrawal,-76.28,2023-03-18
416,1209,Deposit,-262.29,2023-03-04
417,71445,Transfer,106.67,2023-03-20
418,74046,Withdrawal,104.14,2023-03-15
419,65250,Withdrawal,-737.64,2023-03-24
420,67993,Transfer,632.98,2023-03-17
421,63093,Transfer,37.61,2023-03-13
422,41035,Transfer,-285.7,2023-03-28
423,83128,Withdrawal,-110.23,2023-03-19
424,86016,Transfer,-77.87,2023-03-04
425,29062,Deposit,-608.53,2023-03-20
426,73682,Transfer,-125.78,2023-03-24
427,40235,Withdrawal,379.89,2023-03-09
428,40962,Withdrawal,719.36,2023-03-26
429,62917,Deposit,173.04,2023-03-09
430,2996,Deposit,597.38,2023-03-23
431,13375,Deposit,264.37,2023-03-29
432,19134,Transfer,121.68,2023-03-24
433,84741,Transfer,-990.79,2023-03-28
434,48628,Withdrawal,-618.52,2023-03-14
435,5625,Withdrawal,744.81,2023-03-13
436,53930,Transfer,-699.82,2023-03-14
437,12142,Withdrawal,-603.44,2023-03-14
438,83635,Deposit,-662.12,2023-03-06
439,71686,Deposit,-599.11,2023-03-07
440,58828,Deposit,-184.28,2023-03-18
441,70781,Deposit,710.75,2023-03-02
442,41695,Withdrawal,-683.52,2023-03-28
443,59539,Withdrawal,641.54,2023-03-03
444,82027,Withdrawal,746.6,2023-03-24
445,90097,Deposit,565.83,2023-03-15
446,16255,Withdrawal,327.31,2023-03-24
447,10317,Deposit,-642.68,2023-03-22
448,62874,Deposit,375.82,2023-03-24
449,46930,Deposit,206.43,2023-03-17
450,51364,Withdrawal,664.03,2023-03-05
451,64018,Deposit,306.54,2023-03-16
452,68024,Deposit,195.87,2023-03-22
453,9,Deposit,798.79,2023-03-16
454,39998,Withdrawal,-885.68,2023-03-11
455,74880,Transfer,928.49,2023-03-30
456,24206,Deposit,-925.92,2023-03-10
457,67193,Deposit,-336.8,2023-03-20
458,75714,Deposit,347.58,2023-03-19
459,38420,Transfer,-861.87,2023-03-07
460,18955,Withdrawal,-353.65,2023-03-07
461,92491,Transfer,-755.28,2023-03-05
462,69450,Transfer,201.21,2023-03-03
463,17826,Withdrawal,520.51,2023-03-08
464,75472,Deposit,603.12,2023-03-02
465,41814,Deposit,448.23,2023-03-31
466,55424,Deposit,-11.83,2023-03-17
467,8249,Withdrawal,-647.96,2023-03-21
468,98105,Transfer,652.07,2023-03-18
469,199,Withdrawal,-821.25,2023-03-04
470,63675,Deposit,298.23,2023-03-12
471,22474,Transfer,212.1,2023-03-02
472,36831,Transfer,991.97,2023-03-24
473,68008,Withdrawal,888.44,2023-03-06
474,55887,Transfer,-506.12,2023-03-09
475,51143,Withdrawal,-512.88,2023-03-20
476,94080,Transfer,601.03,2023-03-07
477,22542,Withdrawal,-274.38,2023-03-03
478,1520,Withdrawal,-687.7,2023-03-06
479,40265,Transfer,642.13,2023-03-21
480,20855,Withdrawal,-318.47,2023-03-06
481,77019,Withdrawal,841.97,2023-03-22
482,2460,Transfer,115.6,2023-03-18
483,3157,Withdrawal,209.17,2023-03-16
484,67593,Transfer,548.99,2023-03-23
485,69456,Deposit,600.45,2023-03-02
486,1837,Deposit,161.37,2023-03-03
487,37433,Withdrawal,655.3,2023-03-30
488,99776,Withdrawal,-25.01,2023-03-25
489,25852,Deposit,-646.73,2023-03-19
490,69198,Withdrawal,-875.74,2023-03-08
491,32502,Deposit,28.02,2023-03-15
492,69020,Transfer,-249.51,2023-03-23
493,18517,Transfer,-401.18,2023-03-07
494,71181,Withdrawal,-359.97,2023-03-23
495,17667,Deposit,-856.89,2023-03-07
496,63372,Deposit,-254.69,2023-03-31
497,40259,Transfer,-706.51,2023-03-13
498,24538,Transfer,-729.24,2023-03-21
499,80290,Transfer,-708.93,2023-03-27
500,69489,Withdrawal,-633.48,2023-03-20
501,43639,Withdrawal,-130.96,2023-03-03
502,62925,Deposit,134.44,2023-03-13
503,5853,Deposit,-104.29,2023-03-27
504,55843,Deposit,-667.01,2023-03-25
505,12209,Withdrawal,-946.81,2023-03-21
506,53303,Transfer,-345.72,2023-03-26
507,8689,Withdrawal,-223.64,2023-03-31
508,60293,Transfer,-375.21,2023-03-05
509,64835,Withdrawal,629.06,2023-03-18
510,66820,Deposit,86.7,2023-03-25
511,92950,Deposit,918.77,2023-03-14
512,44932,Transfer,211.42,2023-03-19
513,22392,Transfer,407.95,2023-03-29
514,72088,Transfer,267.7,2023-03-22
515,19779,Deposit,-715.96,2023-03-07
516,81915,Deposit,-499.47,2023-03-15
517,22900,Transfer,521.95,2023-03-28
518,59285,Withdrawal,-158.23,2023-03-08
519,95686,Deposit,-49.2,2023-03-08
520,82873,Deposit,482.93,2023-03-11
521,98251,Transfer,572.84,2023-03-10
522,7188,Transfer,142.87,2023-03-31
523,63251,Deposit,287.61,2023-03-15
524,64833,Transfer,909.06,2023-03-26
525,73084,Withdrawal,-563.73,2023-03-20
526,62618,Withdrawal,80.2,2023-03-30
527,92588,Deposit,501.65,2023-03-19
528,36118,Deposit,507.99,2023-03-15
529,95762,Withdrawal,-218.56,2023-03-09
530,55921,Withdrawal,327.17,2023-03-06
531,81964,Deposit,941.36,2023-03-06
532,9387,Withdrawal,605.86,2023-03-27
533,90297,Withdrawal,411.98,2023-03-19
534,66212,Withdrawal,-776.35,2023-03-22
535,63231,Transfer,631.97,2023-03-28
536,16509,Deposit,592.91,2023-03-22
537,35860,Transfer,564.39,2023-03-04
538,29909,Deposit,-233.68,2023-03-28
539,41979,Withdrawal,-26.1,2023-03-17
540,5574,Deposit,357.37,2023-03-09
541,36536,Withdrawal,-350.93,2023-03-31
542,8827,Deposit,55.63,2023-03-07
543,51381,Deposit,-265.34,2023-03-28
544,2549,Deposit,-806.94,2023-03-30
545,49342,Withdrawal,768.82,2023-03-14
546,4565,Transfer,711.71,2023-03-02
547,17587,Deposit,-130.7,2023-03-06
548,98532,Withdrawal,-565.87,2023-03-21
549,99787,Transfer,60.75,2023-03-16
550,65359,Deposit,-911.64,2023-03-09
551,56545,Deposit,757.48,2023-03-14
552,54453,Deposit,586.82,2023-03-30
553,60516,Transfer,716.91,2023-03-09
554,45347,Deposit,-422.87,2023-03-21
555,65318,Transfer,203.91,2023-03-14
556,89695,Withdrawal,-414.05,2023-03-14
557,96238,Deposit,-651.03,2023-03-02
558,72508,Transfer,-217.56,2023-03-05
559,94136,Deposit,-927.01,2023-03-19
560,25577,Deposit,-830.61,2023-03-02
561,18262,Deposit,854.2,2023-03-04
562,86194,Deposit,322.2,2023-03-04
563,58161,Transfer,258.84,2023-03-18
564,75486,Withdrawal,-775.03,2023-03-02
565,44341,Deposit,-888.82,2023-03-11
566,98918,Transfer,-16.3,2023-03-09
567,76973,Deposit,-209.21,2023-03-20
568,73020,Deposit,687.64,2023-03-08
569,96983,Transfer,-23.29,2023-03-12
570,83216,Transfer,-967.89,2023-03-01
571,23869,Withdrawal,157.34,2023-03-25
572,16170,Withdrawal,-606.84,2023-03-11
573,73442,Withdrawal,-348.91,2023-03-24
574,60207,Withdrawal,317.03,2023-03-09
575,29969,Withdrawal,675.36,2023-03-11
576,95751,Deposit,-676.15,2023-03-25
577,57244,Transfer,875.41,2023-03-21
578,43691,Deposit,303.27,2023-03-12
579,25144,Transfer,933.13,2023-03-15
580,25383,Deposit,243.57,2023-03-29
581,92373,Withdrawal,75.8,2023-03-25
582,11636,Withdrawal,132.57,2023-03-08
583,25778,Transfer,306.66,2023-03-29
584,76008,Transfer,-49.03,2023-03-24
585,26985,Withdrawal,-229.24,2023-03-12
586,68050,Transfer,-39.51,2023-03-29
587,96459,Deposit,126.79,2023-03-27
588,33779,Withdrawal,-413.05,2023-03-13
589,1604,Deposit,982.29,2023-03-05
590,22268,Transfer,872.49,2023-03-04
591,95757,Withdrawal,737.8,2023-03-25
592,65473,Deposit,886.17,2023-03-09
593,78877,Deposit,-147.61,2023-03-31
594,53451,Deposit,-469.56,2023-03-15
595,55776,Deposit,678.1,2023-03-25
596,74912,Deposit,944.14,2023-03-05
597,61174,Transfer,73.01,2023-03-30
598,88365,Deposit,362.17,2023-03-22
599,38831,Withdrawal,-888.8,2023-03-28
600,85190,Deposit,-318.25,2023-03-24
601,93350,Deposit,702.28,2023-03-20
602,21036,Withdrawal,-14.35,2023-03-01
603,32301,Withdrawal,553.06,2023-03-22
604,28522,Transfer,-896.61,2023-03-18
605,79586,Withdrawal,483.03,2023-03-09
606,40786,Withdrawal,-901.3,2023-03-12
607,95786,Deposit,-501.55,2023-03-23
608,8195,Withdrawal,-12.79,2023-03-07
609,2923,Withdrawal,624.56,2023-03-07
610,34395,Transfer,-193.37,2023-03-11
611,75026,Withdrawal,389.68,2023-03-21
612,35108,Withdrawal,997.28,2023-03-21
613,964,Transfer,-819.75,2023-03-08
614,61439,Transfer,900.19,2023-03-14
615,73609,Deposit,-619.08,2023-03-31
616,79587,Withdrawal,456.61,2023-03-05
617,52797,Withdrawal,-56.61,2023-03-03
618,73215,Deposit,-311.33,2023-03-10
619,70201,Withdrawal,-880.6,2023-03-06
620,99611,Withdrawal,-144.03,2023-03-21
621,88422,Deposit,-342.18,2023-03-12
622,73058,Transfer,-340.96,2023-03-17
623,49861,Transfer,-163.46,2023-03-10
624,58292,Withdrawal,39.23,2023-03-30
625,43345,Deposit,-149.26,2023-03-20
626,73586,Transfer,-699.02,2023-03-07
627,72252,Transfer,-621.89,2023-03-23
628,28199,Transfer,347.2,2023-03-27
629,58613,Deposit,227.33,2023-03-04
